name,state,place_type,subtype,favorite,lon,lat
East Portal - Curecanti National Rec Area,CO,camps,NRA,FALSE,-107.65,38.525
Echo Lake - Idaho Springs,CO,camps,NF,FALSE,-105.593,39.658
Echo Park - Dinosaur National Monument,CO,camps,NM,FALSE,-108.983,40.525
Eggleston,CO,camps,NF,FALSE,-107.936,39.049
Elbert Creek,CO,camps,NF,FALSE,-106.418,39.152
Eleven Mile State Park,CO,camps,SP,FALSE,-105.503,38.937
Elk Creek,CO,camps,NF,FALSE,-106.368,37.126
Elk Creek - Curecanti Area,CO,camps,NP,FALSE,-107.167,38.466
Elk Wallow,CO,camps,NF,FALSE,-106.612,39.344
Elliott Creek,CO,camps,NF,FALSE,-106.325,39.874
Empire City RV Parking,CO,camps,CP,FALSE,-105.684,39.762
Erickson Springs,CO,camps,NF,FALSE,-107.264,38.958
Farish Military - USAF Academy,CO,camps,MIL,FALSE,-104.994,39.01
Father Dyer,CO,camps,NF,FALSE,-106.352,39.276
Ferris Canyon,CO,camps,NF,FALSE,-108.647,37.618
Five Points - Arkansas Headwaters State Rec Area,CO,camps,SP,FALSE,-105.536,38.441
Flat Rocks,CO,camps,NF,FALSE,-105.086,39.326
Flatiron Reservoir,CO,camps,CP,FALSE,-105.233,40.372
Fleming RV Park,CO,camps,CP,FALSE,-102.845,40.681
Florida,CO,camps,NF,FALSE,-107.682,37.452
Foster Grove - Bonny Lake State Park,CO,camps,SP,FALSE,-102.22,39.614
Fourmile,CO,camps,NF,FALSE,-106.104,39.21
Freeman Reservoir,CO,camps,NF,FALSE,-107.421,40.762
Fruita - Colorado River State Park,CO,camps,SP,FALSE,-108.74,39.15
Fulford Cave,CO,camps,NF,FALSE,-106.658,39.492
Garfield,CO,camps,NF,FALSE,-106.302,38.547
Gates of Lodore - Dinosaur National Monument,CO,camps,NM,FALSE,-108.887,40.727
Geneva Park,CO,camps,NF,FALSE,-105.737,39.532
Georgetown Lake,CO,camps,CP,FALSE,-105.689,39.734
Glacier Basin - Rocky Mountain National Park,CO,camps,NP,FALSE,-105.596,40.33
Gold Creek,CO,camps,NF,FALSE,-106.574,38.655
Gold Park,CO,camps,NF,FALSE,-106.436,39.404
Goose Creek,CO,camps,NF,FALSE,-105.359,39.171
