lon,lat,name,type,open,sites,elev,amenities,state
-110.716,32.538,Peppersauce,NF,all year,17,4649,NH ND VT DW NS RS PA L$ ,AZ
-111.660,33.546,Phon D Sutton,NF, ,15, ,NH ND VT NW SH NR L$ ,AZ
-111.398,32.646,Picacho Peak State Park,SP,all year,85,1860,E DP 35ft FT DW SH RS ,AZ
-110.830,33.287,Pinal,NF,mid may-mid nov,14,7549,NH ND 16ft VT NW NS NR N$ ,AZ
-111.738,35.013,Pine Flat,NF,early apr-late oct,56,5630,NH ND 30ft VT DW NS RS ,AZ
-111.812,35.224,Pine View RV Military - Camp Navajo,MIL, , ,7090,RS ,AZ
-111.462,35.028,Pinegrove,NF,early may-late sep,46,6962,NH DP 33ft FT DW SH RS ,AZ
-109.271,31.933,Pinery Canyon,NF, ,4,7000,NH ND 16ft VT NW NS NR L$ ,AZ
-110.797,33.280,Pioneer Pass,NF,mid may-mid nov,20,5866,NH ND 16ft VT NW NS NR N$ ,AZ
-111.113,34.299,Ponderosa,NF,early apr-late oct,61,5709,NH DP 45ft FT DW NS RS ,AZ
-112.154,34.711,Potato Patch,NF,mid may-mid oct,24,6978,E ND 40ft VT DW NS NR ,AZ
-112.069,34.578,Powell Springs,NF, ,10,5315,NH ND 16ft VT NW NS NR N$ ,AZ
-114.200,33.660,Quartzite - La Paz Valley,BLM, ,500, ,NH ND NW NS NR ,AZ
-114.217,33.663,Quartzite - La Posa,BLM, ,1000, ,NH DP VT DW NS NR ,AZ
-109.329,33.799,Raccoon,NF, ,10,7753,NH ND VT DW NS NR ,AZ
-109.404,33.876,Rainbow,NF,mid may-mid nov,161,9144,NH DP 42ft FT DW SH RS PA ,AZ
-110.304,31.428,Ramsey Vista,NF,mid apr-mid oct,8,7421,NH ND 12ft VT DW NS NR L$ ,AZ
-110.290,31.429,Reef Townsite,NF,mid apr-mid oct,14,7182,NH ND 12ft VT DW NS NR L$ ,AZ
-111.620,33.476,Regional Park - Usery Mt RA,CP, ,73, ,WE  DP FT DW SH RS ,AZ
-109.500,33.844,Reservation Lake,RES, ,60,9160,NH ND VT DW NS ,AZ
-109.963,32.708,Riggs Flat,NF,mid apr-mid nov,31,8776,NH ND 22ft VT NW NS NR L$ ,AZ
