place_id,name,states,acres,owner_name,designation,ecoregion,ecoregion_rank,national_rank,rank_top500,in_top500,rank_top1000,in_top1000
2141,Las Vegas National Wildlife Refuge,NM,8711,U.S. Fish & Wildlife Service,National Wildlife Refuge,Southern Shortgrass Prairie,3,3526,,FALSE,377,TRUE
900276,James D. Martin - Skyline Wildlife Management Area,AL,14220,"ADCNR, Division of Wildlife and Freshwater Fisheries / Alabama Forever Wild Land Trust",State Conservation Area,Cumberlands And Southern Ridge And Valley,12,3552,,FALSE,853,TRUE
6474,Hidden Valley Wildlife Management Area,VA,6239,VA Dept of Wildlife Resources,Wildlife Management Area,Cumberlands And Southern Ridge And Valley,13,3581,,FALSE,629,TRUE
3721,Burden Falls Wilderness - Shawnee National Forest,IL,3694,US Forest Service,National Forest,Interior Low Plateau,8,3587,,FALSE,693,TRUE
5763,Martin National Wildlife Refuge,MD,3932,US Fish and Wildlife Service,National Wildlife Refuge,Chesapeake Bay Lowlands,5,3598,315,TRUE,315,TRUE
4784,William L. Finley National Wildlife Refuge,OR,4734,U.S. Fish & Wildlife Service,National Wildlife Refuge,Willamette Valley - Puget Trough - Georgia Basin: Temperate Broadleaf And Mixed Forests,1,3637,61,TRUE,61,TRUE
2894,Wild and Scenic Rivers - Scenic - Ozark National Forest,AR,10044,US Forest Service,Wild and Scenic River,Ozarks,19,3707,,FALSE,854,TRUE
900032,Beartown State Forest,MA,7457,DCR - Division of State Parks and Recreation,State Forest,Lower New England / Northern Piedmont,3,3722,254,TRUE,254,TRUE
3263,Rio Mora National Wildlife Refuge And Conservation Area,NM,4230,U.S. Fish & Wildlife Service,National Wildlife Refuge,Southern Shortgrass Prairie,4,3734,187,TRUE,187,TRUE
900477,Saint Helena Sound Heritage Preserve / Wildlife Management Area,SC,8409,South Carolina Department of Natural Resources,State Conservation Area,South Atlantic Coastal Plain,9,3736,,FALSE,630,TRUE
6755,Clearwater Lake - Clearwater Recreation Area,MO,16427,Unknown & Unknown,,Ozarks,20,3747,,FALSE,788,TRUE
1572,Harris Neck National Wildlife Refuge,GA,2750,U.S. Fish & Wildlife Service,National Wildlife Refuge,South Atlantic Coastal Plain,10,3749,,FALSE,441,TRUE
2867,Ouachita - Ouachita National Forest,AR,138038,US Forest Service,National Wildlife Refuge,Ouachita Mountains,7,3789,,FALSE,503,TRUE
180,Babcock State Park,WV,3499,WV Division of Natural Resources,State Park,Cumberlands And Southern Ridge And Valley,14,3790,,FALSE,821,TRUE
6018,Sand Flats State Forest,NY,2532,NYS Department of Environmental Conservation,State Forest,St. Lawrence - Champlain Valley,4,3795,316,TRUE,316,TRUE
7815,Sharpe Recreation Area,SD,73729,Unknown,Recreation Area,Dakota Mixed-Grass Prairie,6,3803,,FALSE,568,TRUE
4960,Saxis Wildlife Management Area,VA,3415,VA Dept of Wildlife Resources,Wildlife Management Area,Chesapeake Bay Lowlands,6,3807,,FALSE,378,TRUE
1921,Catahoula - Kisatchie National Forest,LA,37628,US Forest Service,National Wildlife Refuge,West Gulf Coastal Plain,5,3814,317,TRUE,317,TRUE
7826,Tennessee National Wildlife Refuge,TN,5245,Unknown,National Wildlife Refuge,Interior Low Plateau,9,3817,,FALSE,569,TRUE
900132,Crab Orchard National Wildlife Refuge,IL,42792,U.S. Fish & Wildlife Service,National Wildlife Refuge,Interior Low Plateau,10,3828,,FALSE,379,TRUE
6563,SAPELO ISLAND WMA - Sapelo Island Wildlife Management Area,GA,18437,Georgia Department of Natural Resources,State Conservation Area,South Atlantic Coastal Plain,11,3849,,FALSE,744,TRUE
6472,The Channels State Forest,VA,4114,VA Dept of Forestry,State Forest,Cumberlands And Southern Ridge And Valley,15,3878,,FALSE,745,TRUE
6427,Yellowwood State Forest,IN,5092,"Indiana DNR, Forestry Division",State Conservation Area,Interior Low Plateau,11,3881,,FALSE,822,TRUE
2789,Little Lake George Wilderness - Ocala National Forest,FL,2827,US Forest Service,National Forest,Florida Peninsula,4,3895,,FALSE,380,TRUE
5895,Picayune Strand State Forest,FL,73633,Trustees of the Internal Improvement Trust Fund,State Resource Management Area,Tropical Florida,10,3903,,FALSE,631,TRUE
2787,Billies Bay Wilderness - Ocala National Forest,FL,3064,US Forest Service,National Forest,Florida Peninsula,5,3911,318,TRUE,318,TRUE
3151,Quivira National Wildlife Refuge,KS,22163,U.S. Fish & Wildlife Service,National Wildlife Refuge,Central Mixed-Grass Prairie,6,3917,,FALSE,442,TRUE
5899,PENHOLOWAY SWAMP WMA - Penholoway Swamp Wildlife Management Area,GA,10572,Georgia Department of Natural Resources,State Conservation Area,South Atlantic Coastal Plain,12,3922,,FALSE,694,TRUE
