"place_id","name","owner","eco_id","eco_name","states","acres","facets","veg","footprint","gap_min","gap_max","national_rank","ecoregion_rank","score_veg","score_facet_pct_eco","score_evt_pct_eco","score_intact","score_mgmt","score_desig","landscape_score","selection_score","landform_diff_min","veg_diff_min","combined_diff_50_50","complementarity_acres","quality_cutoff_rank","candidate_pool_size","weight_complementarity","weight_facets","weight_veg","weight_intact","weight_facet_pct_eco","weight_evt_pct_eco","weight_mgmt","weight_desig","run_id","run_ts","run_label","rank_top1000"
"237","Nopah Range Wilderness - Barstow Field Office","BLM",17094,"Mojave Desert","CA, NV","107017","33","22","0.004",1,1,"529","12","36.2","23.6","21.6","99.5",100,25,"57.88","59.72","11.9","6.4","9.2","9.2",36,176,"0.20","5","5","30","20","20","15","5","671","2026-03-24 16:54:49.683731","iterative_landform_veg_top_pct_floor_v2","838"
"1186","Pine Valley Mountain Wilderness - Dixie National Forest","UFS",17093,"Great Basin","UT","50094","47","30","0.008",1,1,"551","9","50.0","11.7","28.4","98.9",100,25,"57.78","59.20","6.4","7.7","7.1","7.1",69,343,"0.20","5","5","30","20","20","15","5","665","2026-03-24 16:54:22.308765","iterative_landform_veg_top_pct_floor_v2","839"
"3495","San Jacinto Wilderness - San Bernardino National Forest","UFS",17086,"California South Coast","CA","12222","64","22","0.155",1,1,"643","12","36.2","29.6","39.3","78.7",100,25,"57.28","58.04","5.5","2.0","3.8","3.8",25,125,"0.20","5","5","30","20","20","15","5","672","2026-03-24 16:54:54.250259","iterative_landform_veg_top_pct_floor_v2","840"
"887","Mallard-Larkins IRA - Clearwater National Forest","UFS",17030,"Canadian Rocky Mountains","ID","109573","41","23","0.011",2,2,"820","13","37.9","13.0","38.2","98.5",90,0,"56.35","57.09","5.5","1.9","3.7","3.7",39,192,"0.20","5","5","30","20","20","15","5","684","2026-03-24 16:55:48.05942","iterative_landform_veg_top_pct_floor_v2","841"
"900289","Kiger Mustang ACEC - Burns Three Rivers Field Office","BLM",17092,"Columbia Plateau","OR","54094","31","32","0.015",1,2,"831","15","53.4","7.9","27.9","97.9",100,25,"56.32","58.96","11.3","15.0","13.2","13.2",63,311,"0.20","5","5","30","20","20","15","5","729","2026-03-24 16:59:01.215959","iterative_landform_veg_top_pct_floor_v2","842"
"3901","Norse Peak Wilderness - Snoqualmie National Forest","UFS",17031,"East Cascades - Modoc Plateau","WA","49623","37","28","0.012",1,1,"870","8","46.6","9.8","25.3","98.4",100,25,"56.17","57.37","7.9","4.1","6.0","6.0",23,113,"0.20","5","5","30","20","20","15","5","695","2026-03-24 16:56:35.033286","iterative_landform_veg_top_pct_floor_v2","843"
"5466","Rothrock State Forest","SNR",17006,"Central Appalachian Forest","PA","88981","68","18","0.182",3,3,"882","13","29.3","77.0","25.3","75.0",65,0,"56.13","57.11","9.6","0.1","4.9","4.9",47,233,"0.20","5","5","30","20","20","15","5","682","2026-03-24 16:55:39.192561","iterative_landform_veg_top_pct_floor_v2","844"
"3302","Pine Springs ACEC - Rock Springs Field Office","BLM",17097,"Wyoming Basins","WY","3928","29","19","0.001",1,1,"903","14","31.0","12.1","25.1","99.9",100,25,"56.03","58.91","16.8","12.0","14.4","14.4",20,97,"0.20","5","5","30","20","20","15","5","692","2026-03-24 16:56:22.245868","iterative_landform_veg_top_pct_floor_v2","845"
"825","Porcupine Lake Wilderness - Chequamegon National Forest","UFS",17023,"Superior Mixed Forest","WI","4074","9","20","0.032",1,1,"928","10","32.8","10.7","34.9","95.6",100,25,"55.93","56.39","3.6","1.0","2.3","2.3",39,192,"0.20","5","5","30","20","20","15","5","677","2026-03-24 16:55:17.361512","iterative_landform_veg_top_pct_floor_v2","846"
"3877","Trinity Alps Wilderness - Six Rivers National Forest","UFS",17035,"Klamath Mountains","CA","28862","30","18","0.002",1,1,"1063","15","29.3","13.4","21.1","99.7",100,25,"55.37","56.19","3.5","4.7","4.1","4.1",23,113,"0.20","5","5","30","20","20","15","5","727","2026-03-24 16:58:52.660618","iterative_landform_veg_top_pct_floor_v2","847"
"1230","Picacho Peak Wilderness - El Centro Field Office","BLM",17095,"Sonoran Desert","CA","7269","25","8","0.004",1,1,"1489","21","12.1","19.0","13.4","99.5",100,25,"53.89","57.59","16.4","20.6","18.5","18.5",24,116,"0.20","5","5","30","20","20","15","5","712","2026-03-24 16:57:48.117797","iterative_landform_veg_top_pct_floor_v2","848"
"6361","Tiadaghton State Forest","SNR",17010,"High Allegheny Plateau","PA","129704","32","24","0.152",3,3,"1634","13","39.7","47.8","37.8","79.1",65,0,"53.49","54.23","7.3","0.0","3.7","3.7",33,163,"0.20","5","5","30","20","20","15","5","713","2026-03-24 16:57:52.441447","iterative_landform_veg_top_pct_floor_v2","849"
"6119","Bud Love Wildlife Habitat Management Area","STA",17072,"Northern Great Plains Steppe","WY","7897","31","23","0.063",2,2,"2542","19","37.9","14.2","25.3","91.4",90,0,"51.59","55.27","12.1","24.6","18.4","18.4",27,133,"0.20","5","5","30","20","20","15","5","674","2026-03-24 16:55:03.724221","iterative_landform_veg_top_pct_floor_v2","850"
"5976","Suggs Mill Pond Game Land Nature Reserve","SFW",17036,"Mid-Atlantic Coastal Plain","NC","9346","17","11","0.096",1,1,"2648","12","17.2","30.6","14.4","86.8",100,0,"51.37","51.59","0.7","1.4","1.1","1.1",16,79,"0.20","5","5","30","20","20","15","5","690","2026-03-24 16:56:13.813486","iterative_landform_veg_top_pct_floor_v2","851"
"4031","Tahquamenon Falls State Park","SNR",17009,"Great Lakes","MI","45424","29","26","0.018",3,3,"2923","16","43.1","20.4","23.9","97.5",65,0,"50.83","53.07","16.4","5.9","11.2","11.2",44,219,"0.20","5","5","30","20","20","15","5","702","2026-03-24 16:57:04.873235","iterative_landform_veg_top_pct_floor_v2","852"
"900276","James D. Martin - Skyline Wildlife Management Area","STA",17008,"Cumberlands And Southern Ridge And Valley","AL","14220","26","7","0.102",1,2,"3552","12","10.3","28.6","8.1","86.0",100,0,"49.38","50.12","7.0","0.3","3.7","3.7",19,94,"0.20","5","5","30","20","20","15","5","709","2026-03-24 16:57:35.2992","iterative_landform_veg_top_pct_floor_v2","853"
